site_number,frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
36,1376,001376,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,35,141683340722,scans/001376.npy,poses/001376.npy,transforms/001376.npz,global_dem,674.4699382648023,-5496.7387159222335,-0.141227416794189,-0.0033434285527200254,0.005026429021529024,-0.09274398080396053,0.9956716881188493,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
37,1377,001377,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,36,144883340889,scans/001377.npy,poses/001377.npy,transforms/001377.npz,global_dem,675.5083444761295,-5496.948573987474,-0.1516491561507864,0.00018228440462615689,0.005423625177412884,-0.07827001744714736,0.9969174265861511,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
38,1378,001378,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,37,147950007716,scans/001378.npy,poses/001378.npy,transforms/001378.npz,global_dem,676.5228306152381,-5497.0257750589935,-0.16149523524326448,0.004819936825827703,0.0059500268387103795,-0.010863968421151409,0.9999116658884213,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
39,1379,001379,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,38,151000007875,scans/001379.npy,poses/001379.npy,transforms/001379.npz,global_dem,677.5306350166426,-5497.019617483041,-0.17474145347471032,0.0029712829983302947,0.005704987262404158,0.008617095145213853,0.999942183463093,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
40,1380,001380,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,39,154033341366,scans/001380.npy,poses/001380.npy,transforms/001380.npz,global_dem,678.5359482234493,-5497.003065990643,-0.18820282746095546,0.0004530512123473995,0.010490223359688895,0.00742202185858547,0.9999173283576965,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
41,1381,001381,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,40,157166674863,scans/001381.npy,poses/001381.npy,transforms/001381.npz,global_dem,679.5637249832185,-5496.996465268984,-0.21182339304289238,-0.0005318784811641655,0.014358493586966375,0.0006981695810735387,0.999896526309813,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
42,1382,001382,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,41,163400008521,scans/001382.npy,poses/001382.npy,transforms/001382.npz,global_dem,680.5867397022768,-5496.99796628645,-0.24148587209927597,0.000549974472237428,0.016719107880849744,0.0031912589937232658,0.9998549818977668,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
43,1383,001383,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,42,167583342073,scans/001383.npy,poses/001383.npy,transforms/001383.npz,global_dem,681.5655591393408,-5496.789476938898,-0.2727007753739373,0.007280656905532566,0.016605275670460908,0.2523780173272396,0.9674588328321281,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
44,1384,001384,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,43,170916675580,scans/001384.npy,poses/001384.npy,transforms/001384.npz,global_dem,682.306906604489,-5496.101242311756,-0.2990523923481342,0.005815249390448942,0.014534910824914905,0.45971386793215707,0.887929095633595,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
45,1385,001385,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,44,177100009236,scans/001385.npy,poses/001385.npy,transforms/001385.npz,global_dem,682.8674678188496,-5495.251346950317,-0.324855294525908,-0.005056427148948991,0.014956282675817133,0.4146369312626683,0.9098499642172251,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
46,1386,001386,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,45,181233342785,scans/001386.npy,poses/001386.npy,transforms/001386.npz,global_dem,683.7237771156551,-5494.70139106036,-0.35993828967874053,-0.010573049291887824,0.010287414105134498,0.15899961468982837,0.9871684264947836,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
47,1387,001387,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,46,184783342970,scans/001387.npy,poses/001387.npy,transforms/001387.npz,global_dem,684.747876336964,-5494.71143192577,-0.37559550095874816,-0.010958147976463531,0.006759779112398211,-0.12192324855014032,0.9924560170819956,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
48,1388,001388,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,47,187966676469,scans/001388.npy,poses/001388.npy,transforms/001388.npz,global_dem,685.7428817824058,-5494.952547523709,-0.38877571978187236,-0.006452148325939285,0.006802856392547073,-0.09267444408535355,0.9956523180007935,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
49,1389,001389,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,48,194000010117,scans/001389.npy,poses/001389.npy,transforms/001389.npz,global_dem,686.7441995570391,-5495.036263683664,-0.404093841569365,0.0028215142925297246,0.00560184422244735,0.035417175059701086,0.9993529317059089,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
50,1390,001390,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,49,198000010326,scans/001390.npy,poses/001390.npy,transforms/001390.npz,global_dem,687.6817379252959,-5494.681353784787,-0.4139509909975037,0.002858325741677084,0.001936871697418118,0.34938061932266373,0.9369745254507692,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
51,1391,001391,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,50,201416677171,scans/001391.npy,poses/001391.npy,transforms/001391.npz,global_dem,688.2979075190875,-5493.882823228063,-0.4148170177094357,-0.0028141433245376167,8.541845860744038e-05,0.4637982372743061,0.8859363794326782,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
52,1392,001392,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,51,207750010835,scans/001392.npy,poses/001392.npy,transforms/001392.npz,global_dem,688.9416663896344,-5493.084270612419,-0.4157097756198355,-0.007564323884039036,-0.003093452691381855,0.33616075896206965,0.9417691626341717,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
53,1393,001393,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,52,211500011030,scans/001393.npy,poses/001393.npy,transforms/001393.npz,global_dem,689.9236098257888,-5492.8023951563255,-0.41335994189066677,6.26021840100469e-05,-0.0037210597898718494,-0.01955713182685382,0.9998018145561218,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
54,1394,001394,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,53,214550011189,scans/001394.npy,poses/001394.npy,transforms/001394.npz,global_dem,690.918311986105,-5492.924556997537,-0.40735448914009476,-0.00014944874356919384,-0.006325768404086064,-0.0671512214717466,0.9977227449417114,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
55,1395,001395,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,54,217950011366,scans/001395.npy,poses/001395.npy,transforms/001395.npz,global_dem,691.9178382523597,-5493.012757706664,-0.3983413430832091,0.0013238450825222914,-0.004005756354263692,-0.02062745069928998,0.999778330245198,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
56,1396,001396,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,55,224033345017,scans/001396.npy,poses/001396.npy,transforms/001396.npz,global_dem,692.9478099997008,-5492.976806840977,-0.38868436698566544,0.00295382206403763,-0.0032282399561179907,0.1133893009284446,0.9935410005817367,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
57,1397,001397,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,56,227416678527,scans/001397.npy,poses/001397.npy,transforms/001397.npz,global_dem,693.8082199547852,-5492.426891949102,-0.38520568464565136,-0.00031048571183803507,0.0010689869762324094,0.39763332140294305,0.9175437333312954,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
58,1398,001398,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,57,230566678691,scans/001398.npy,poses/001398.npy,transforms/001398.npz,global_dem,694.4563861105564,-5491.619307934981,-0.3883988620649047,-0.0034334836212977214,0.0002548723136752196,0.4309323392464616,0.9023776732731692,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
59,1399,001399,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,58,233700012188,scans/001399.npy,poses/001399.npy,transforms/001399.npz,global_dem,695.1327105874767,-5490.841690334651,-0.39183386823505134,-0.006402155537420914,-0.0023068692521854826,0.3935785677696472,0.919265794942421,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
60,1400,001400,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,59,236816679017,scans/001400.npy,poses/001400.npy,transforms/001400.npz,global_dem,695.8533904340492,-5490.110009015338,-0.390529495306244,-0.011220012421382519,-0.005517418014937097,0.3788716027909285,0.9253647810557443,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
61,1401,001401,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,60,239950012514,scans/001401.npy,poses/001401.npy,transforms/001401.npz,global_dem,696.5610680189214,-5489.408815455407,-0.3754145563736792,-0.005807367401171787,-0.03697888573936576,0.3784745155349629,0.9248545169830322,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
62,1402,001402,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,61,243250012686,scans/001402.npy,poses/001402.npy,transforms/001402.npz,global_dem,697.3485243055754,-5488.936998792019,-0.45648317170336783,0.25391640381984004,-0.11861101619244338,0.3511176664346869,0.8934059945100301,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
63,1403,001403,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,62,246483346188,scans/001403.npy,poses/001403.npy,transforms/001403.npz,global_dem,698.0606084262894,-5487.988009198573,-0.3317534752971864,-0.02587643503842699,-0.013936526493196532,0.36394793164047995,0.9309554696083069,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
64,1404,001404,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,63,252800013184,scans/001404.npy,poses/001404.npy,transforms/001404.npz,global_dem,698.7487911329279,-5487.262851192222,-0.31521858573103356,-0.02451001975814134,-0.02224239901359596,0.38852035013503017,0.9208455202413319,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
65,1405,001405,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,64,256466680042,scans/001405.npy,poses/001405.npy,transforms/001405.npz,global_dem,699.6315694354786,-5486.757949673415,-0.275770315332366,-0.01749568690709097,-0.03562838330199283,0.10386647296064809,0.9937989107649748,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
66,1406,001406,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,65,259783346882,scans/001406.npy,poses/001406.npy,transforms/001406.npz,global_dem,700.6456770222389,-5486.806262796244,-0.2006583018935248,-0.01526407453205664,-0.0370349283416423,-0.10219236289349838,0.9939578175544739,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
67,1407,001407,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,66,262966680381,scans/001407.npy,poses/001407.npy,transforms/001407.npz,global_dem,701.674609585134,-5486.957023970502,-0.12905756285285575,-0.020938492432390137,-0.0283944363164106,-0.04535774633304931,0.9983476400375366,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
68,1408,001408,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,67,266150013880,scans/001408.npy,poses/001408.npy,transforms/001408.npz,global_dem,702.6951924401836,-5486.982919882002,-0.0616673344991821,-0.03134973427439861,-0.04339131626700899,-0.005857758313897736,0.9985489845275879,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
69,1409,001409,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,68,269250014042,scans/001409.npy,poses/001409.npy,transforms/001409.npz,global_dem,703.6765123624073,-5486.968361373813,0.04065860296730439,-0.04161043092342425,-0.06963072122491966,-4.435193906747581e-05,0.9967046366567028,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
