cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
3,0,inf,inf,4,"[187, 4, 63, 165]","[5, 0, 3, 4]",1.5164157435344106,0.05362361714779667,-81.78404908750773,-385.8247716550102,1458.8670406458225,-1893.4027972221375,526,-0.12251122381189412,raw_lidar_xy_decimated,5965,0.5,1.168863010725147,-82.95291209823289,6,1.0,327.41403999400063,484,-1899.828,solution,-385.81077053518493,1457.3825240017723,-1893.5169643317445,6.311035668255537,1.4845826678964575,0.11416710960702403
8,0,inf,inf,6,"[4, 63, 64, 187, 1, 196]","[1, 4, 5, 9, 0, 8]",3.381681146441933,0.10725434852662816,-95.44015780847529,-384.89880839059725,1451.3748910739512,-1893.3626976013184,1196,-0.08282348239906336,raw_lidar_xy_decimated,6031,0.5,0.7961976631604557,-94.64396014531485,10,1.0,870.4440002110023,490,-1899.828,solution,-386.0783179163933,1451.285386540734,-1893.4654506527347,6.362549347265335,1.1829005803152077,0.10275305141635727
4,0,inf,inf,8,"[1, 62, 87, 63, 228, 187, 196, 2]","[0, 5, 6, 4, 9, 8, 7, 1]",6.385668348455238,0.33720699368854345,-48.94212048023034,-371.61227368809074,1408.004120528588,-1891.8674201965332,1723,-0.12661606833278113,raw_lidar_xy_decimated,4682,0.5,1.1956847624231557,-47.74643571780719,10,1.0,268.6881020209985,538,-1899.828,solution,-370.62116295746205,1407.1137867742098,-1891.970455480484,7.857544519516011,1.3322892608410721,0.10303528395070316
8,0,inf,inf,7,"[2, 6, 59, 87, 62, 39, 84]","[0, 1, 3, 5, 4, 2, 6]",3.541152827627987,0.06248638814985436,-58.61629445528164,-351.3474588979734,1382.878520065415,-1892.0354998111725,2459,-0.09275258091806547,raw_lidar_xy_decimated,5184,0.5,2.0787449178278337,-56.5375495374538,8,1.0,333.030899641999,568,-1899.828,solution,-352.17740595401386,1382.8594539623266,-1892.0655482217555,7.7624517782445075,0.8301660268387221,0.03004841058304919
8,0,inf,inf,8,"[2, 6, 87, 59, 39, 84, 75, 104]","[0, 1, 5, 3, 2, 6, 4, 7]",7.3962856091763145,0.29718619657964473,-64.62789417738674,-347.31921316382704,1371.6461528927546,-1892.2879979908466,2502,-0.11742498859584592,raw_lidar_xy_decimated,7581,0.5,2.0809299175749345,-62.546964259811794,8,1.0,491.1961760060003,580,-1899.828,solution,-347.66443556251926,1371.5200681430576,-1892.393551137202,7.4344488627980905,0.36752669109187686,0.10555314635530522
4,0,inf,inf,9,"[87, 6, 84, 59, 48, 39, 62, 2, 75]","[9, 2, 7, 5, 3, 4, 8, 0, 10]",6.8389719040571535,0.24049595416291386,-62.33586513082881,-342.6386993661245,1361.327857652918,-1893.125688135624,2855,-0.1192075741038577,raw_lidar_xy_decimated,5922,0.5,0.33077385053758235,-62.00509128029122,12,1.0,163.58663767100006,591,-1899.828,solution,-342.1036747018115,1361.7487365615832,-1892.976558937106,6.851441062894143,0.6807278804209737,0.14912919851803963
3,0,inf,inf,17,"[39, 142, 62, 28, 59, 48, 6, 96, 177, 147, 65, 84, 75, 176, 105, 27, 15]","[4, 15, 9, 2, 7, 6, 0, 13, 17, 14, 11, 12, 10, 18, 16, 5, 1]",7.542635726732757,0.23393525954018354,-59.1036340386626,-304.16954363605674,1289.4377807452904,-1894.1821253597736,2581,-0.09551349333384208,raw_lidar_xy_decimated,9612,0.5,1.1974010653622713,-57.90623297330031,19,1.0,244.22675682599947,672,-1899.828,solution,-303.2804603422394,1289.263905236986,-1894.1574670472628,5.670532952737287,0.9059259328075634,0.024658312510837277
7,0,inf,inf,8,"[48, 84, 135, 237, 59, 176, 105, 38]","[0, 2, 5, 7, 1, 6, 4, 3]",8.168207996659127,0.38495112121064257,-58.71142842716391,-297.20539070275095,1279.7675948389133,-1894.8798307180405,2557,-0.1129502550832088,raw_lidar_xy_decimated,4594,0.5,1.84509544564213,-56.86633298152178,8,1.0,214.4422116470014,682,-1899.828,solution,-297.8025852709442,1280.7661027050076,-1894.8789025830588,4.949097416941154,1.1634686548986704,0.0009281349816774309
4,0,inf,inf,14,"[294, 501, 478, 334, 453, 299, 462, 516, 313, 547, 349, 298, 396, 370]","[0, 15, 13, 2, 14, 5, 12, 16, 7, 18, 10, 1, 17, 8]",12.943339893878465,0.5783192086919884,-67.1743474480944,-528.7608347610701,1750.2025637719612,-1898.9188593626022,2303,-0.4085844423513457,raw_lidar_xy_decimated,8269,0.5,3.768963627460437,-70.94331107555485,19,1.0,391.13237119599944,724,-1899.828,solution,-282.3471700070822,1241.8101706605858,-1895.4558068310187,4.372193168981287,564.9624054315491,3.463052531583571
2,0,inf,inf,13,"[566, 663, 694, 589, 642, 843, 703, 700, 728, 783, 685, 812, 631]","[1, 4, 9, 3, 5, 16, 11, 6, 10, 14, 0, 12, 2]",10.864373015906342,0.6475759644424991,-19.075275569012874,-132.82212194387694,1596.98940633825,-1902.2588428258896,2588,-0.4878435017119948,raw_lidar_xy_decimated,4698,0.5,4.3353876732482775,-14.739887895764605,17,1.0,190.64904441600083,821,-1899.828,solution,-226.61425707540195,1167.012626340522,-1896.4871788023572,3.340821197642798,440.08748669979803,5.771664023532367
6,0,inf,inf,25,"[157, 416, 91, 38, 9, 132, 8, 134, 182, 233, 177, 21, 188, 379, 380, 179, 262, 147, 266, 104, 48, 194, 533, 207, 192]","[12, 33, 6, 5, 0, 11, 2, 7, 17, 26, 18, 3, 20, 30, 31, 15, 28, 14, 25, 10, 8, 22, 34, 23, 19]",9.399999842854074,0.5215320358158009,-104.42330524219356,-212.80720598031985,1130.5638892108557,-1894.8041574954987,2722,-0.24758548900514715,raw_lidar_xy_decimated,13935,0.5,3.927589458470891,-100.49571578372267,35,1.0,191.7924117679977,871,-1899.828,solution,-210.87701200501743,1128.7843554421856,-1894.6749228948702,5.153077105129903,2.6253360196612396,0.1292346006284788
3,0,inf,inf,4,"[8, 9, 21, 29]","[0, 1, 2, 4]",1.4996316966921333,0.05600776856224462,-47.96714835991684,-192.9617333617812,1066.299920946216,-1894.3391417264938,59,-0.09387989152678493,raw_lidar_xy_decimated,4636,0.5,0.7603860202415831,-48.72753438015841,5,1.0,33.328826904999005,941,-1899.828,solution,-192.21096355920315,1066.7065973459908,-1894.4229696930786,5.40503030692147,0.8538389722874532,0.08382796658474945
8,0,inf,inf,10,"[16, 8, 44, 20, 163, 21, 9, 33, 29, 26]","[3, 0, 10, 4, 11, 8, 2, 6, 7, 9]",7.264263743628758,0.10004513643158373,-73.78964826244693,-174.04928224005883,1038.3278685405503,-1893.3737288117409,2765,-0.06756592983122174,raw_lidar_xy_decimated,8170,0.5,1.018208021333919,-74.80785628378085,12,1.0,633.9014064629991,975,-1899.828,solution,-174.12990780152217,1037.857904170406,-1893.3995321555674,6.428467844432486,0.4768301483404093,0.025803343826510172
