frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
27,000027,east_plateau_safe,apollo15rille_east_plateau_safe_03,27,111783339163,scans/000027.npy,poses/000027.npy,transforms/000027.npz,global_dem,-656.3606640720134,1821.5058164165825,0.6838379209616323,-0.013776776618718099,-0.04046066269972803,-0.4907917764813163,0.8702278824182839,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
28,000028,east_plateau_safe,apollo15rille_east_plateau_safe_03,28,114916672660,scans/000028.npy,poses/000028.npy,transforms/000028.npz,global_dem,-655.8315006789935,1820.6314267878913,0.7794189767824137,-0.019705691042333044,-0.051567168337061216,-0.48973120033608897,0.8701240511028384,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
29,000029,east_plateau_safe,apollo15rille_east_plateau_safe_03,29,118000006154,scans/000029.npy,poses/000029.npy,transforms/000029.npz,global_dem,-655.3059059357812,1819.7708673440188,0.8873291341487012,-0.0228105478603706,-0.05061820473272487,-0.4888704307980776,0.8705878348261292,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
30,000030,east_plateau_safe,apollo15rille_east_plateau_safe_03,30,121033339645,scans/000030.npy,poses/000030.npy,transforms/000030.npz,global_dem,-654.7835155386501,1818.9205675283083,0.9824219086897741,-0.01761303354866849,-0.03691110971977211,-0.4866099995775795,0.8726614803803229,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
31,000031,east_plateau_safe,apollo15rille_east_plateau_safe_03,31,124100006472,scans/000031.npy,poses/000031.npy,transforms/000031.npz,global_dem,-654.251875453995,1818.0614977239036,1.0573730816804783,-0.012200800823190918,-0.030309626047639936,-0.48758413619436664,0.8724644274465971,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
32,000032,east_plateau_safe,apollo15rille_east_plateau_safe_03,32,127200006633,scans/000032.npy,poses/000032.npy,transforms/000032.npz,global_dem,-653.7158990117266,1817.1891470511055,1.112182653125178,-0.0015108416412865462,-0.020097453672539952,-0.4873930209784001,0.8729500860959715,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
33,000033,east_plateau_safe,apollo15rille_east_plateau_safe_03,33,130250006793,scans/000033.npy,poses/000033.npy,transforms/000033.npz,global_dem,-653.188383568346,1816.3265219486236,1.1258545292442728,0.017001535866259892,-0.008188386646846828,-0.48758847900720687,0.8728696198412159,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
34,000034,east_plateau_safe,apollo15rille_east_plateau_safe_03,34,133300006952,scans/000034.npy,poses/000034.npy,transforms/000034.npz,global_dem,-652.6600822974059,1815.466136073429,1.1080322647358805,0.027859686250774666,0.0020066858964585058,-0.48702159049176574,0.8729431719697407,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
35,000035,east_plateau_safe,apollo15rille_east_plateau_safe_03,35,136366673778,scans/000035.npy,poses/000035.npy,transforms/000035.npz,global_dem,-652.1288341727611,1814.6040736388677,1.0666504299175361,0.03147200314927488,0.009032783251680453,-0.4871747112585444,0.8726905078861888,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
36,000036,east_plateau_safe,apollo15rille_east_plateau_safe_03,36,139433340605,scans/000036.npy,poses/000036.npy,transforms/000036.npz,global_dem,-651.6010612373339,1813.7423259166815,1.0080566810356468,0.0354007495628954,0.01552975087601859,-0.48923424310995134,0.8712952824024396,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
37,000037,east_plateau_safe,apollo15rille_east_plateau_safe_03,37,142466674096,scans/000037.npy,poses/000037.npy,transforms/000037.npz,global_dem,-651.082270006904,1812.8882896046816,0.9470215258929259,0.03307254902263694,0.012071969680174658,-0.4906217913423356,0.8706610890060633,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
38,000038,east_plateau_safe,apollo15rille_east_plateau_safe_03,38,145583340926,scans/000038.npy,poses/000038.npy,transforms/000038.npz,global_dem,-650.548197098274,1812.0084983646689,0.8935547301585263,0.031185978674646217,0.01144181330285134,-0.49120269784228765,0.8704116435772821,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
39,000039,east_plateau_safe,apollo15rille_east_plateau_safe_03,39,148683341087,scans/000039.npy,poses/000039.npy,transforms/000039.npz,global_dem,-650.0211489548522,1811.1338760392014,0.8496094187916716,0.02794027698110668,0.004483168672167548,-0.49112728417841817,0.8706280680384749,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
40,000040,east_plateau_safe,apollo15rille_east_plateau_safe_03,40,151766674581,scans/000040.npy,poses/000040.npy,transforms/000040.npz,global_dem,-649.5102961091266,1810.2714454856095,0.8187256308448052,0.029349595831804798,-0.003438354989995087,-0.4906528776304493,0.87085391002879,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
41,000041,east_plateau_safe,apollo15rille_east_plateau_safe_03,41,154816674740,scans/000041.npy,poses/000041.npy,transforms/000041.npz,global_dem,-648.9913446612685,1809.4132873932792,0.8078613741444737,0.02558581698131698,-0.013200362067502802,-0.49051299928906394,0.8709581585467422,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
42,000042,east_plateau_safe,apollo15rille_east_plateau_safe_03,42,157883341567,scans/000042.npy,poses/000042.npy,transforms/000042.npz,global_dem,-648.4695340975898,1808.5491364116656,0.8095703596392605,0.02165483700047512,-0.015273713342619108,-0.4906471761158942,0.8709552975237644,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
43,000043,east_plateau_safe,apollo15rille_east_plateau_safe_03,43,160950008394,scans/000043.npy,poses/000043.npy,transforms/000043.npz,global_dem,-647.9466496966422,1807.6852829764814,0.8137207513839049,0.01926561798166892,-0.013265740389309095,-0.49030295904056576,0.8712381215556245,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
