estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
-70.64686653901823,72.09428392435473,568.7543958681049,-1895.9254963994026,0.01994109837078499,-69.60789546465797,darces,72.20216238608613,569.8360824044187,1.5544807296928964,8.936464708596219,1510,-1899.828,solution,72.74440766152088,569.7893098116681,-1895.8990432747205,3.928956725279459,1.2221733691291163,0.026453124682120688
121.8192688356045,56.990972444545925,593.0191194412648,-1894.6833616495132,0.02127965819145893,122.26144873397185,darces,56.29444873172292,594.5144612865636,0.6297992659983437,4.115528921907076,1546,-1899.828,solution,56.060141587775774,595.0372339988157,-1894.6262161592788,5.201783840721094,2.222438402141752,0.05714549023446125
,,,,,,none,,,,,1611,-1899.828,feature_pose_unavailable,18.44020551145661,648.7886974463504,-1894.9609330268077,4.8670669731923555,,
,,,,,,none,,,,,1630,-1899.828,feature_pose_unavailable,9.092731745750143,665.532471513149,-1895.336543399919,4.491456600080903,,
109.55731578161974,-45.60642377194763,832.2039616328387,-1894.0118987038732,0.00767578154359742,108.24400176306918,ransac,-45.45380727161094,832.5118155694845,0.5401534158970664,3.608503030624152,1641,-1899.828,solution,5.664325586214318,676.2528083003594,-1895.0371049366577,4.79089506334236,164.16288242315292,1.0252062327845124
124.15690668238587,-14.832175015954249,731.1138082307565,-1894.8028756380081,0.02030115554944705,124.35569192748062,darces,-14.532063876084482,727.0113528920634,1.2443952061038956,8.46314907549662,1696,-1899.828,solution,-14.69383060942232,727.4268798108656,-1894.8383745321753,4.989625467824755,3.68952305159056,0.03549889416717633
,,,,,,none,,,,,1873,-1899.828,feature_pose_unavailable,-118.08366743367412,869.7677573222866,-1894.9561725715687,4.871827428431219,,
,,,,,,none,,,,,1895,-1899.828,feature_pose_unavailable,-129.04356805560678,889.1612505681514,-1894.8127399793661,5.015260020633791,,
,,,,,,none,,,,,1900,-1899.828,feature_pose_unavailable,-130.99260387561037,893.8898881912979,-1894.6861530712554,5.141846928744605,,
98.9165007948333,-134.82793803093136,907.2002896947051,-1894.5754736363888,0.03388852566615239,100.46994727474058,darces,-135.79824370542661,907.2765479551676,0.197344859011743,2.1526426843232045,1916,-1899.828,solution,-136.9252826600558,909.03081814703,-1894.6246296527527,5.203370347247271,2.7838263070974922,0.049156016363895105
85.85911804287645,-138.11182064280584,916.4159641420651,-1894.0813765525818,0.16364524101398706,88.82493841229092,ransac,-136.84522886132356,916.8571625959655,0.45660366406564495,5.9219175753566455,1925,-1899.828,solution,-136.77751688541014,918.1550246960771,-1894.1191364994163,5.7088635005837345,2.1919621637977147,0.03775994683451245
121.71270002256495,-155.28872359882934,1004.3867742068697,-1894.1373188495636,0.017524560315320542,123.94410123797122,darces,-155.87067364809022,1002.5139387362026,0.15458950827785398,4.191290512534636,2013,-1899.828,solution,-156.37749564604286,1003.7188667422963,-1894.115718635322,5.712281364677983,1.2773116111687228,0.02160021424151637
120.09227637280503,-157.28619758341551,1005.7587882617074,-1894.2474464178085,0.053090551459991434,118.17342819173088,darces,-157.26020120489056,1004.4996329146237,0.30748783528873586,3.5060770999955255,2016,-1899.828,solution,-157.91606996087484,1006.3088935405793,-1894.2001912949233,5.627808705076691,0.836274494247553,0.04725512288518985
120.0825214902004,-169.1885213275168,1024.8054270178109,-1893.2885245382786,0.026729519496194593,119.63823348442531,ransac,-169.13804792604003,1024.796030980132,1.473868629794281,7.614946865821313,2039,-1899.828,solution,-169.67986465904033,1026.5955141987897,-1893.4068563601793,6.421143639820608,1.8562948001159245,0.11833182190071057
110.59088258231394,-171.83719435325193,1030.74186517475,-1893.292274236679,0.013511639933061686,109.91230958459417,darces,-171.99980919659464,1031.0279687413679,0.31328484816848035,1.9055053792917196,2045,-1899.828,solution,-172.57985875494103,1031.9695375288288,-1893.2894247264512,6.538575273548754,1.4348274539140764,0.002849510227861174
110.62448125910643,-176.60409481098236,1043.8629404863877,-1893.7328522205353,0.06139726130058031,110.63689150964362,darces,-176.96122356398567,1044.563870381918,0.7728983263690322,4.047145780124535,2059,-1899.828,solution,-176.5901131667398,1045.597039820983,-1893.6789511104794,6.149048889520679,1.734155699070615,0.0539011100559037
120.99908668681474,-178.4228661804096,1047.4384034685963,-1893.7691503763199,0.0037328973059985214,121.07978670863994,darces,-178.3223649627333,1047.6256019936009,0.0186123303300846,0.10033817296701576,2063,-1899.828,solution,-178.4524485053389,1049.1965880915225,-1893.8531454510207,5.974854548979167,1.758433473931313,0.08399507470085155
132.20500552191166,-188.87843868235498,1060.9586781632242,-1894.162309885025,0.02835724545952658,135.27462992265933,darces,-187.03652528649232,1061.5560032838703,2.172364374800708,16.391521988199457,2079,-1899.828,solution,-188.3543654842532,1062.0010310830294,-1894.2563437102215,5.57165628977846,1.1666843302260008,0.09403382519644765
139.00406354935188,-208.7836423773423,1082.3305004998247,-1894.1635324954987,0.028497476512899862,140.6132423501648,darces,-208.77957896524617,1083.4905407008553,0.1583528628794133,2.303962289872696,2108,-1899.828,solution,-209.65490334788228,1082.3297046090847,-1894.2836874883144,5.544312511685524,0.8712613340602003,0.12015499281574193
136.67632594982493,-212.12186793580997,1084.8046619265538,-1894.2657500505447,0.048445595943589964,137.46552797097763,darces,-209.9776722575246,1082.2161309872229,1.1974835228399787,7.876565346362624,2109,-1899.828,solution,-210.4103355016465,1082.9996874912088,-1894.2864951064382,5.541504893561789,2.487423563738704,0.020745055893485187
