estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-132.12904281785248,-502.2489024720025,-454.7201828892154,11.12787115573883,0.18808145173258675,-134.4995453152127,darces,-499.73401969655345,-451.716451693178,2.4616103292184057,10.247392952287715,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,506.77826299658574,7.280056595802307
148.49059687390425,-378.63010166937477,-73.0875442589124,8.821160674095154,0.04168866571213514,149.44161035802512,ransac,-379.4598165859946,-73.73895945144453,0.8446782666932355,2.70297706949862,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,370.7742180894985,8.64964509010315
-138.43138553017425,-102.7806683666821,-219.5910558561091,4.016835451126099,0.03637687540879039,-139.71234166950032,darces,-104.95633240335943,-217.89992666666956,0.7237566418824605,2.8457646500519584,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,129.00577872486275,2.2009522914886475
,,,,,,none,,,,,17,feature_pose_unavailable,-102.15924835205078,-266.02862548828125,3.638662815093994,,
,,,,,,none,,,,,18,feature_pose_unavailable,-131.5979461669922,-290.22393798828125,5.277122974395752,,
,,,,,,none,,,,,19,feature_pose_unavailable,-162.78665161132812,-310.0521240234375,5.476531028747559,,
-137.05178215378237,-188.74464532324689,-338.2367247203826,7.454330921173096,0.03177496162802648,-136.0195701623404,darces,-189.5139823835214,-338.9839628275452,1.0910333780736088,3.839808608938809,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,5.267630111924282,0.5741310119628906
-139.67952828432806,-204.03921509645704,-350.4436764381092,5.834092365577817,0.17197444721726807,-144.28567002113058,ransac,-206.35444436712953,-355.7902219353242,1.2361832286392223,13.628469120011886,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,7.208342157653231,0.3949315417557955
-154.6864828900548,704.9667430558096,-209.4038483347971,-11.359063148498535,0.06796083373838624,-156.91243075727206,darces,703.8429458074786,-211.1671601314731,0.41755871064712624,3.589891507761015,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,954.8858327856175,17.24812889099121
-159.03796192403487,-250.2028373143594,-382.98751219480806,6.830154776573181,0.09568619010010886,-159.1886782440187,darces,-247.32801311892032,-383.6196243771105,0.4088939370582677,1.5357272896207632,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,5.56209580014679,0.4355987310409546
,,,,,,none,,,,,24,feature_pose_unavailable,-279.89703369140625,-394.0205078125,5.653914928436279,,
,,,,,,none,,,,,25,feature_pose_unavailable,-301.57952880859375,-399.9701232910156,3.864340305328369,,
94.61117691743449,-123.47144492398179,-66.98808098539793,2.395030915737152,0.03144728689762951,93.52076946053198,darces,-121.9065038965554,-67.04208863562697,0.36909113784479025,1.6336595395047193,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,342.47045704867173,2.700832426548004
165.30544184286035,-362.4771620395091,-338.75862082289257,6.607069969177246,0.06979787927595156,166.5572388504696,darces,-357.91874548767504,-342.1435604358132,0.8704277289520007,3.8318401763904775,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,6.643132805182554,0.5372753143310547
-146.23550630396016,-391.2772731282802,-363.96805156027006,7.497150659561157,0.03724337197320998,-145.08153748263848,darces,-386.4330154520479,-364.09321349983406,1.5469799750643944,5.677105855839426,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,1.9950932345260142,0.5550100803375244
