estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
none,,,,,DARCES has no pose estimate,,,,,,,,,,,218,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,219,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,221,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,223,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,224,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,226,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,227,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,238,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,242,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,244,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,250,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,253,,darces_unavailable,,,,,,
