estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-139.03947902918554,-130.73135569888478,-290.9645003660017,5.812722682952881,0.0843500113630986,-138.81407483429035,darces,-127.40661375857346,-290.6432326458093,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,1.1399173981958326,0.5355997085571289
-163.41701648051858,-132.20164591117592,-220.46690191515378,3.7259920239448547,0.33758550601146364,-167.93621919290902,darces,-132.09437182486346,-224.16463591322457,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,94.66231876448447,1.7505390048027039
-136.48801909794963,-225.25129380424016,-317.89226030198284,7.221171855926514,0.5319880942047126,-135.93996126772848,darces,-225.31643065803024,-312.07395463846944,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,37.13726270183828,0.3409719467163086
-139.7506609311418,-205.03179775724388,-353.70432466132746,6.027914881706238,0.24310709403101866,-139.32506043473845,darces,-209.3186372651199,-351.143968610201,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,6.153658744920299,0.5887540578842163
-154.6392017188191,-231.08449255441224,-373.7924624185546,6.478208780288696,0.02067966250268201,-154.08416499755432,darces,-233.65727000035378,-369.80913205845195,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,5.50671387530901,0.5891430377960205
-158.91013891728983,-432.71544719402436,-451.0421539116327,8.647581338882446,0.03213681664494134,-158.62206423170008,darces,-426.63960404245836,-456.77573848656033,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,194.47033879541348,2.2530252933502197
,,,,,,none,,,24,feature_pose_unavailable,-279.89703369140625,-394.0205078125,5.653914928436279,,
,,,,,,none,,,25,feature_pose_unavailable,-301.57952880859375,-399.9701232910156,3.864340305328369,,
94.60764711870772,-204.18499425305205,-171.15936742892674,3.8824531510472298,0.03497708562440824,95.35250521049755,ransac,-203.8710747626328,-168.2849416511404,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,211.26137351037548,1.2134101912379265
165.51002340092333,-360.49126243980345,-339.5720697875935,6.634029030799866,0.2743794373389356,164.40564190604732,darces,-356.79124933531773,-338.9383296485736,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,4.6749740460323865,0.5642343759536743
-145.08240065894907,-495.89326921558524,-382.62562005427145,9.177227020263672,1.1158622730378776,-143.02678509973032,darces,-491.305926700159,-382.73065650619213,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,107.07877148989944,2.235086441040039
