estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
none,,,,,DARCES has no pose estimate,,,,,,,,,,,165,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,168,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,169,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,172,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,175,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,177,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,180,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,181,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,187,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,194,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,195,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,198,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,199,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,200,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,201,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,203,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,204,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,208,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,209,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,211,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,212,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,213,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,215,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,216,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,218,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,219,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,221,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,223,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,224,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,226,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,227,,darces_unavailable,,,,,,
darces,-40.810988628046836,816.146171298145,-5856.698339670818,-950.8414783477783,,-8.859375795858657,1.7763568394002505e-15,raw_lidar_xy_decimated,5601,1.0,3.381613151282039,1.0,exactly three correspondences cannot be outlier-tested,False,0.0012077790015609935,238,-1006.809,minimal_unverified,857.2431334869498,-5527.263252013243,-982.4354571319211,24.373542868078903,331.9886101677322,31.59397878414279
none,,,,,DARCES has no pose estimate,,,,,,,,,,,242,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,244,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,250,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,253,,darces_unavailable,,,,,,
