heading_error_deg,initial_source,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
,none,181,-1006.809,feature_pose_unavailable,811.9326486801724,-5497.919374937028,-990.8991014654176,15.909898534582394,,
,none,187,-1006.809,feature_pose_unavailable,817.6732584817839,-5498.970650430072,-990.1527747051119,16.656225294887996,,
,none,194,-1006.809,feature_pose_unavailable,823.598676780502,-5501.605843634481,-989.0649073655541,17.744092634445938,,
,none,195,-1006.809,feature_pose_unavailable,824.3095352395991,-5502.309965776569,-988.919752461994,17.88924753800599,,
,none,198,-1006.809,feature_pose_unavailable,827.0796687756782,-5503.062446333706,-988.5003355589303,18.308664441069666,,
,none,199,-1006.809,feature_pose_unavailable,827.8696674538717,-5503.651070073286,-988.3076426842645,18.50135731573556,,
,none,200,-1006.809,feature_pose_unavailable,828.5127215317019,-5504.415405841557,-988.1042521788485,18.704747821151475,,
,none,201,-1006.809,feature_pose_unavailable,829.2735366595855,-5505.068929420453,-987.9120043294913,18.896995670508616,,
,none,203,-1006.809,feature_pose_unavailable,831.2756565770155,-5505.1213457694885,-987.566308361316,19.242691638683926,,
,none,204,-1006.809,feature_pose_unavailable,832.0429250554165,-5505.7713734235485,-987.3761042614393,19.43289573856061,,
,none,208,-1006.809,feature_pose_unavailable,834.7337442548587,-5508.743083088872,-986.6567459719683,20.152254028031575,,
,none,209,-1006.809,feature_pose_unavailable,835.4354498254113,-5509.466719385277,-986.5123598910061,20.296640108993913,,
,none,211,-1006.809,feature_pose_unavailable,836.8517040445106,-5510.850973095322,-986.239738537539,20.569261462461018,,
,none,212,-1006.809,feature_pose_unavailable,837.5721949874,-5511.560447933288,-986.0996039667609,20.709396033239017,,
,none,213,-1006.809,feature_pose_unavailable,838.283813117716,-5512.272513346713,-985.9784076677316,20.830592332268324,,
,none,215,-1006.809,feature_pose_unavailable,839.7047412784879,-5513.687425673829,-985.7235112455846,21.08548875441531,,
,none,216,-1006.809,feature_pose_unavailable,840.4086112953196,-5514.404045448131,-985.5767896767398,21.232210323260077,,
,none,218,-1006.809,feature_pose_unavailable,842.218317375276,-5515.082438561534,-985.3809150884459,21.428084911554006,,
,none,219,-1006.809,feature_pose_unavailable,843.2172092418316,-5514.978970406211,-985.2835620018234,21.525437998176578,,
,none,221,-1006.809,feature_pose_unavailable,845.2072371649019,-5515.08648003056,-985.0283736284637,21.780626371536343,,
,none,223,-1006.809,feature_pose_unavailable,846.5853583033013,-5516.55884781989,-984.7054822076326,22.103517792367327,,
,none,224,-1006.809,feature_pose_unavailable,847.2520198336991,-5517.282689161369,-984.5474512984875,22.26154870151238,,
,none,226,-1006.809,feature_pose_unavailable,848.6768733034485,-5518.692335657273,-984.1666905915085,22.642309408491442,,
,none,227,-1006.809,feature_pose_unavailable,849.4009702420402,-5519.40369991094,-983.9929522289314,22.816047771068597,,
,none,238,-1006.809,feature_pose_unavailable,857.2431334869498,-5527.263252013243,-982.4354571319211,24.373542868078903,,
,none,242,-1006.809,feature_pose_unavailable,858.9459836882357,-5530.59458744694,-981.7986470919595,25.010352908040474,,
,none,244,-1006.809,feature_pose_unavailable,857.7686156006791,-5532.203465987,-981.820232191847,24.98876780815296,,
,none,250,-1006.809,feature_pose_unavailable,855.785234249897,-5537.392184080715,-981.9625071648331,24.846492835166806,,
,none,253,-1006.809,feature_pose_unavailable,854.6638579612129,-5539.075610544716,-982.2816536493476,24.527346350652344,,
