cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,,,,,,,,,2,,,,,,0.13681185225797177,2,0.0,2.264934153442614,49.18075781202808,0.5825342403463363,nan,,,0p5m,nan,nan,,0.0,117,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,0.007471621378338934,0,0.0,nan,nan,nan,nan,,,0p5m,nan,nan,,0,136,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-3.938496311525569,2,0.0,2.6060023467226268,54.84512569842235,0.6065156403366563,nan,,,0p5m,nan,nan,,0.0,150,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,0.3167954192560964,1,0.0,2.3620025663095396,74.40178089266412,0.5879660129416681,nan,,,0p5m,nan,nan,,0.0,151,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,11006,0.25,,-0.030394175836511713,3,0.0,2.2840113460659,46.32089161490742,0.5826505481264289,nan,,,0p5m,nan,nan,0.001669007004238665,0.0,155,no_solution,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,11207,0.25,,0.14926023997307056,3,0.0,2.151968300795912,41.5586934347075,0.5739556280336868,nan,,,0p5m,nan,nan,0.0009684950055088848,0.0,161,no_solution,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,11587,0.25,,-0.04299612420696146,3,0.0,2.0916699287977396,40.65249069860296,0.5701162365948547,nan,,,0p5m,nan,nan,0.0013593230105470866,0.0,164,no_solution,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,12302,0.25,,0.04882332838645638,3,0.0,1.9491840666115456,38.50486982188097,0.5613827199727358,nan,,,0p5m,nan,nan,0.0015719159855507314,0.0,175,no_solution,nan,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,12708,0.25,,0.021950449829388766,4,0.0,1.8314047502679673,37.920085367626754,0.554713494192318,nan,,,0p5m,nan,nan,1.0806665669952054,0.0,178,no_solution,nan,,,,,
3,0,inf,inf,5,"[0, 22, 6, 12, 11]","[0, 4, 1, 3, 2]",8.370824120208315,0.12863263292410254,1.5536191117065659,195.14366913963204,-0.1977643364468804,-1975.5184391736984,8,5,-0.13848687362339301,raw_lidar_xy_decimated,15198,0.25,1.6193577178244993,-0.06573860611791954,5,0.9030899869919435,2.0350527881293203,37.53831376074317,0.5665881906527391,2.151223182155641,3.012157523378024,0.9951309382813528,0p5m,2.4141509031750483,3.275085244397431,1.601651042001322,1.0,194,solution,0.13848687362339301,195.98184204101562,-0.0011069509200751781,-1.7528076171875,0.8609343412223827,1973.765631556511
