abs_elevation_angle_deg,darces_status,feature,profile,range_m,selected,sigma_z_m,site
2.3228416651749018,no_solution,1,0p5m,36.784847423905404,0,0.5852806438651973,196
1.5636735827152433,no_solution,2,0p5m,40.00781173720952,0,0.5402929877566203,196
2.961593839122597,no_solution,3,0p5m,20.202103850836924,0,0.6328960975541891,196
1.7185552608771852,no_solution,0,0p5m,66.59298011051915,0,0.5483034111274467,200
2.46984464137925,no_solution,1,0p5m,37.92921037933693,0,0.595528122627971,200
1.9023297119872438,no_solution,2,0p5m,40.897738323775314,0,0.5586177216530341,200
1.722688309349602,no_solution,3,0p5m,39.42873317772206,0,0.5485258683136293,200
3.1089135577048386,no_solution,4,0p5m,20.015618901248097,0,0.644933067899224,200
1.3878601136827544,no_solution,0,0p5m,66.3974773617191,0,0.5319934884217637,204
2.3007116448256126,no_solution,1,0p5m,32.88806774500442,0,0.583777703488532,204
1.5337469698625656,no_solution,2,0p5m,35.25797782062948,0,0.5388196871032561,204
2.0606889943948237,no_solution,3,0p5m,23.15437323703667,0,0.5681763635304974,204
1.4248644879790284,no_solution,0,0p5m,58.16033871978395,0,0.5336683815011266,210
2.3571315373800648,no_solution,1,0p5m,28.855242158055095,0,0.5876302100093656,210
1.5672487212847293,no_solution,2,0p5m,30.718479780093286,0,0.540470629101602,210
1.4067579934677032,no_solution,3,0p5m,27.697021500515177,0,0.5328439876781067,210
1.9282030175581533,skipped_insufficient_features,0,0p5m,44.278945335226766,0,0.560137920253135,223
2.8227998856223167,skipped_insufficient_features,1,0p5m,21.991475621249247,0,0.621895632896073,223
2.3466907652700417,skipped_insufficient_features,0,0p5m,35.265067701622236,0,0.5869121377993978,229
2.7239498964250233,skipped_insufficient_features,1,0p5m,23.143573622066235,0,0.6142718080014227,229
3.508567178859408,skipped_insufficient_features,0,0p5m,21.450524469112636,0,0.6793067773847884,246
1.6028114448438462,skipped_insufficient_features,1,0p5m,30.350041186133502,0,0.5422565573605118,246
3.9130564117217297,skipped_insufficient_features,0,0p5m,18.25171224844398,0,0.7163694334614946,249
1.6729039097661285,skipped_insufficient_features,1,0p5m,30.75101624336991,0,0.5458760392075591,249
4.322419318606856,skipped_insufficient_features,0,0p5m,16.29800601300662,0,0.7558783100810631,252
0.8891718021412585,skipped_insufficient_features,1,0p5m,29.531762561689405,0,0.5133705745468702,252
4.83976676134287,skipped_insufficient_features,0,0p5m,14.650085323983612,0,0.8082509102144316,258
1.2102018496508868,skipped_insufficient_features,1,0p5m,31.837477915186685,0,0.5245024256293509,258
5.177607739883439,no_solution,0,0p5m,17.381743295768697,0,0.8437142029113569,273
1.0612832942865076,no_solution,1,0p5m,44.40298413395208,0,0.5189447392193345,273
1.2457234282938676,no_solution,2,0p5m,36.07804041241708,0,0.5259263408109836,273
2.863203460298194,no_solution,0,0p5m,38.34872879249063,0,0.6250628555604772,313
1.5381227277105918,no_solution,1,0p5m,48.6376911458593,0,0.5390335768032374,313
1.6908130282384175,no_solution,2,0p5m,36.784847423905404,0,0.5468217751219201,313
2.6218904591245007,skipped_insufficient_features,0,0p5m,38.84745808930103,0,0.6065921774461258,316
2.135123707429781,skipped_insufficient_features,0,0p5m,43.739284402010966,0,0.5728746617566872,317
2.4848892146302495,skipped_insufficient_features,0,0p5m,42.21522237297821,0,0.5966022027721899,326
2.718707078430423,skipped_insufficient_features,0,0p5m,44.504213283688095,0,0.6138724977681823,330
2.605928787810877,skipped_insufficient_features,1,0p5m,24.168678077213904,0,0.6054091937794107,330
2.1999650662210053,skipped_insufficient_features,0,0p5m,58.37486616687014,0,0.57707108369151,347
2.4034438103315967,skipped_insufficient_features,1,0p5m,30.571637182198796,0,0.590843225424657,347
2.182273998149903,no_solution,0,0p5m,57.95364526930122,0,0.5759167010891092,350
2.2098534088316466,no_solution,1,0p5m,30.775396016948346,0,0.5777193837735426,350
2.9132633160486527,no_solution,2,0p5m,12.772039774444801,0,0.629027211528048,350
1.6710416913600716,skipped_insufficient_features,0,0p5m,38.11331788233609,0,0.5457781859790429,355
1.377328833848769,no_solution,0,0p5m,35.434799279804025,0,0.5315239449150438,397
3.9060938114366746,no_solution,1,0p5m,11.879604370516722,0,0.7157139852567781,397
3.001889881073888,no_solution,2,0p5m,14.426538046253508,0,0.6361524437185704,397
2.0281223993825637,no_solution,3,0p5m,19.573579131063383,0,0.5661615181591028,397
1.3074622738212809,skipped_insufficient_features,0,0p5m,38.950288830764784,0,0.5284896078998487,398
1.2941570645770422,no_solution,0,0p5m,40.00781173720952,0,0.5279277769073939,399
3.7473435610473578,no_solution,1,0p5m,13.08147545195113,0,0.7009306108350328,399
2.27037329705611,no_solution,2,0p5m,18.155577655365306,0,0.5817345859650884,399
1.5357412198435727,skipped_insufficient_features,0,0p5m,36.58722454628118,0,0.5389171020621758,402
1.6169654841413559,skipped_insufficient_features,0,0p5m,34.32382554436495,0,0.5429768641681123,405
1.38008526555623,skipped_insufficient_features,0,10m,49.49747468305833,0,0.5550143769854647,2
2.2519935527570873,skipped_insufficient_features,1,10m,25.495097567963924,0,0.6361172904526003,2
1.2468534898826453,no_solution,0,10m,96.17692030835673,0,0.5453183550246863,9
1.3331389837336571,no_solution,1,10m,75.16648189186454,0,0.5515051836813271,9
1.373599357799047,no_solution,2,10m,69.6419413859206,0,0.5545236590523304,9
2.83341505306331,no_solution,3,10m,15.811388300841896,0,0.7035292933976791,9
